epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1,saved_model_path,training_phase
2,0.6449404358863831,0.6324344873428345,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,models/Artistic_Representation_EN.jsonl.model,normal
7,0.4625806808471679,0.4984166622161865,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,models/Artistic_Representation_FR.jsonl.model,normal
18,1.5543543631050556e-05,0.0859631144954759,0.9973404255319148,0.9894459102902374,0.9933774834437086,379.0,0.6,0.8571428571428571,0.7058823529411765,7.0,0.8496299181924425,models/Event_Disruption_EN.jsonl.model,normal
4,0.6006398797035217,0.6257123947143555,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,models/Event_Disruption_FR.jsonl.model,normal
6,0.2260275930166244,0.2217707931995391,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,models/Loss_of_Indigenous_Practices_EN.jsonl.model,normal
3,0.9401176182123332,0.4651272961726555,0.9970501474926252,0.8184019370460048,0.898936170212766,413.0,0.0131578947368421,0.5,0.0256410256410256,2.0,0.4622885979268958,models/Loss_of_Indigenous_Practices_FR.jsonl.model,reinforced
7,0.000246024292915,0.0011809078776143,1.0,1.0,1.0,385.0,1.0,1.0,1.0,1.0,1.0,models/Cultural_Sector_Footprint_EN.jsonl.model,normal
3,0.6187866043585998,1.2681085696587195,1.0,0.0772946859903381,0.1434977578475336,414.0,0.0026109660574412,1.0,0.0052083333333333,1.0,0.0743530455904334,models/Cultural_Sector_Footprint_FR.jsonl.model,reinforced
7,0.0003361289584842,0.1512601824372093,0.9808743169398908,0.9917127071823204,0.9862637362637364,362.0,0.85,0.7083333333333334,0.7727272727272727,24.0,0.8794955044955045,models/Cultural_Frame_Detection_EN.jsonl.model,normal
13,0.0689446331690187,0.0764822199940681,1.0,0.986842105263158,0.9933774834437086,152.0,0.7142857142857143,1.0,0.8333333333333334,5.0,0.9133554083885208,models/Cultural_Frame_Detection_FR.jsonl.model,reinforced
12,0.0003242139854202,1.1055182218551636,0.8888888888888888,0.9411764705882352,0.9142857142857144,17.0,0.8,0.6666666666666666,0.7272727272727273,6.0,0.8207792207792208,models/Negative_Economic_Impacts_EN.jsonl.model,normal
3,0.3788362145423889,0.3067318201065063,1.0,0.8947368421052632,0.9444444444444444,19.0,0.8,1.0,0.8888888888888888,8.0,0.9166666666666666,models/Negative_Economic_Impacts_FR.jsonl.model,normal
6,0.000446166525855,0.0961085384809009,0.9896103896103896,1.0,0.9947780678851176,381.0,1.0,0.2,0.3333333333333333,5.0,0.6640557006092254,models/Positive_Economic_Impacts_EN.jsonl.model,normal
4,0.2983606305833046,0.0983855340343255,0.9951573849878934,0.9975728155339806,0.9963636363636365,412.0,0.5,0.3333333333333333,0.4,3.0,0.6981818181818182,models/Positive_Economic_Impacts_FR.jsonl.model,reinforced
5,0.1923794214214597,0.5835806131362915,0.875,0.8235294117647058,0.8484848484848485,17.0,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0,0.731934731934732,models/Costs_of_Climate_Action_EN.jsonl.model,normal
1,0.959243267774582,0.4791963398456573,0.9130434782608696,0.9130434782608696,0.9130434782608696,23.0,0.5,0.5,0.5,4.0,0.7065217391304348,models/Costs_of_Climate_Action_FR.jsonl.model,reinforced
9,0.0026858087595818,0.6354692578315735,0.9090909090909092,1.0,0.9523809523809524,20.0,1.0,0.3333333333333333,0.5,3.0,0.7261904761904762,models/Benefits_of_Climate_Action_EN.jsonl.model,normal
17,0.1031144257061756,0.1208037698211578,0.98,0.9824561403508772,0.981226533166458,399.0,0.5333333333333333,0.5,0.5161290322580645,16.0,0.7486777827122613,models/Benefits_of_Climate_Action_FR.jsonl.model,normal
8,0.0013036901613564,0.349889725446701,0.9375,0.9375,0.9375,16.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.8973214285714286,models/Economic_Sector_Footprint_EN.jsonl.model,normal
16,0.0150524795753881,0.3551457226276397,0.9047619047619048,1.0,0.95,19.0,1.0,0.75,0.8571428571428571,8.0,0.9035714285714284,models/Economic_Sector_Footprint_FR.jsonl.model,normal
4,0.0015611232693551,0.5631625292822718,0.9565217391304348,0.9322033898305084,0.944206008583691,118.0,0.7037037037037037,0.7916666666666666,0.7450980392156863,24.0,0.8446520238996886,models/Economic_Frame_Detection_EN.jsonl.model,reinforced
13,0.0112282971851527,0.4084944065660238,0.9682539682539684,0.9457364341085271,0.9568627450980391,129.0,0.7741935483870968,0.8571428571428571,0.8135593220338984,28.0,0.8852110335659689,models/Economic_Frame_Detection_FR.jsonl.model,normal
2,0.4310493856212314,0.621022323003182,0.8254716981132075,0.7478632478632479,0.7847533632286996,234.0,0.6609195402298851,0.756578947368421,0.7055214723926381,152.0,0.7451374178106689,models/Negative_Emotion_EN.jsonl.model,normal
16,0.0160487130163416,1.1323813452170446,0.8713692946058091,0.8171206225680934,0.8433734939759037,257.0,0.7298850574712644,0.8037974683544303,0.7650602409638554,158.0,0.8042168674698795,models/Negative_Emotion_FR.jsonl.model,normal
4,0.1937495926965256,0.9202499389648438,0.7160493827160493,0.6408839779005525,0.6763848396501457,181.0,0.7098214285714286,0.775609756097561,0.7412587412587412,205.0,0.7088217904544435,models/Neutral_Emotion_EN.jsonl.model,normal
4,0.190098111745384,0.9130076885223388,0.8627450980392157,0.5789473684210527,0.6929133858267716,76.0,0.6952380952380952,0.9125,0.7891891891891892,80.0,0.7410512875079804,models/Neutral_Emotion_FR.jsonl.model,normal
